ticker,company,value,industry,sector,market_cap,pc1,pc2
ARW,Arrow Electronics,250804072.0,Electronics & Computer Distribution,Technology,mid,-0.2877449498549051,-1.6258029917456682
VSH,Vishay Intertechnology,190955726.0,Semiconductors,Technology,mid,5.025245937449027,2.285159598485245
STLD,Steel Dynamics Inc,41766026.0,Steel,Basic Materials,mid,1.2983082196710145,-4.960075406989567
VIAV,Viavi Solutions,40152105.0,Communication Equipment,Technology,mid,-1.126670392987903,6.0663925901914695
SANM,Sanmina Corp,38267244.0,Electronic Components,Technology,mid,2.1694917997106216,2.6843730553009113
MTZ,Mastec Inc,38244405.0,Engineering & Construction,Industrials,mid,-4.150294439858753,-5.61566240810217
GLUU,Glu Mobile Inc,32171446.0,Electronic Gaming & Multimedia,Communication Services,mid,-7.634485890566064,8.384419062806982
HUN,Huntsman Corp,30897097.0,Chemicals,Basic Materials,mid,-1.2280732496363824,-2.9038939839600886
VLEEY,Valeo Sa ADR,30549028.0,Auto Parts,Consumer Cyclical,mid,0.8948462984139863,-3.54935444116371
EEFT,Euronet Worldwide,27714543.0,Software—Infrastructure,Technology,mid,2.4926239449557737,1.9851313538338016
EWBC,East West Bancorp,24621609.0,Banks—Diversified,Financial Services,mid,1.6152211652337867,-2.2664959924334562
CPRI,Capri Holdings Ltd,23240898.0,Apparel Manufacturing,Consumer Cyclical,mid,10.029514243160339,-0.5965415015575694
REGI,Renewable Energy,21984194.0,Oil & Gas Refining & Marketing,Energy,mid,-6.584349963347578,-10.181188895707217
SRCL,Stericycle Inc,21285168.0,Waste Management,Industrials,mid,-3.6731568831886405,0.4231141244412645
CC,Chemours Company,20794181.0,Specialty Chemicals,Basic Materials,mid,3.370240906802599,-4.519470668399948
G,Genpact Ltd,19456812.0,Information Technology Services,Technology,mid,-4.194736777588273,1.1705867232233709
AL,Air Lease Corp Cl A,18980451.0,Rental & Leasing Services,Industrials,mid,9.802473089867574,-3.3082356335490446
DIOD,Diodes Inc,18438649.0,Semiconductors,Technology,mid,1.9287018678371748,4.420278054052483
SLM,SLM Corp,18358405.0,Credit Services,Financial Services,mid,-2.7629946585229557,-6.765911674267457
CSTM,Constellium N.V.,16599437.0,Aluminum,Basic Materials,mid,5.8163670726326995,-4.992384761115048
VNE,Veoneer Inc,16248722.0,Auto Parts,Consumer Cyclical,mid,8.221022278368931,2.1253398259588807
WTS,Watts Water Technologies,16194279.0,Specialty Industrial Machinery,Industrials,mid,-3.5084306690968163,-2.102078337218645
CSIQ,Canadian Solar Inc,16033906.0,Solar,Technology,mid,3.266680238268921,8.976459570489926
EME,Emcor Group,14170920.0,Engineering & Construction,Industrials,mid,-0.5562132390583887,0.3945705483951258
