ticker,report_pd,shortName,sector,industry,value,market_cap,pc1,pc2
A,2020-12-31,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,49902102.0,large,0.038212718792049426,-0.014784468528330166
AAL,2020-12-31,"American Airlines Group, Inc.",Industrials,Airlines,3964516.0,large,6.238771939408215,3.8908732297790394
AAP,2020-12-31,Advance Auto Parts Inc Advance ,Consumer Cyclical,Specialty Retail,2958598.0,large,-1.2892120301941776,-0.25305324047370736
AAPL,2020-12-31,Apple Inc.,Technology,Consumer Electronics,869144523.0,mega,21.070558164698948,-7.521290333655565
AAXJ,2020-12-31,iShares MSCI All Country Asia e,None,None,69910578.0,mid,2.00732852288445,0.11562380354691969
ABBV,2020-12-31,AbbVie Inc.,Healthcare,Drug Manufacturers—General,55407298.0,large,0.8039880183999051,-2.7318581785444755
ABC,2020-12-31,AmerisourceBergen Corporation,Healthcare,Medical Distribution,13862730.0,large,-3.017242108931988,-0.5080302402722273
ABT,2020-12-31,Abbott Laboratories,Healthcare,Medical Devices,90041977.0,mega,0.7465944758304848,-1.3014136179168252
ACN,2020-12-31,Accenture plc,Technology,Information Technology Services,84715017.0,large,-0.6159615469280557,-1.1718937612725775
ADBE,2020-12-31,Adobe Inc.,Technology,Software—Infrastructure,74845078.0,mega,-1.5063014197944342,-1.8640351075243862
ADI,2020-12-31,"Analog Devices, Inc.",Technology,Semiconductors,13335516.0,large,-4.40985197352083,0.3245361376153586
ADM,2020-12-31,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,8111569.0,large,0.5939752874932629,-0.6565467904825145
ADP,2020-12-31,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,35894364.0,large,0.18565832194178128,-0.821256872018312
ADS,2020-12-31,Alliance Data Systems Corporati,Financial Services,Credit Services,4215086.0,mid,-2.5433737487499934,-0.40025912810987957
ADSK,2020-12-31,"Autodesk, Inc.",Technology,Software—Application,20144864.0,large,-13.2045818801495,-5.699211454738837
AEE,2020-12-31,Ameren Corporation,Utilities,Utilities—Regulated Electric,3524925.0,large,1.0373567472599048,-0.7409948595892556
AFL,2020-12-31,AFLAC Incorporated,Financial Services,Insurance—Life,10382721.0,large,0.2839184292439203,-0.9723308736518718
AGRO,2020-12-31,Adecoagro S.A.,Consumer Defensive,Farm Products,15873481.0,small,0.0145488706438299,0.9133662044522689
AIG,2020-12-31,"American International Group, I",Financial Services,Insurance—Diversified,9578651.0,large,0.5564753371301305,-0.7368933301048193
AJG,2020-12-31,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,6763368.0,large,0.10116548159052034,-0.3950871201933887
AKAM,2020-12-31,"Akamai Technologies, Inc.",Technology,Software—Infrastructure,6276564.0,large,-0.07397164479915326,0.512433634222642
AL,2020-12-31,Air Lease Corporation,Industrials,Rental & Leasing Services,18962981.0,mid,-4.091639048474322,0.5882869454829861
ALC,2020-12-31,Alcon Inc.,Healthcare,Medical Instruments & Supplies,6955852.0,large,0.9511177304062467,1.5621516892159373
ALGN,2020-12-31,"Align Technology, Inc.",Healthcare,Medical Devices,12183551.0,large,-2.630235828386672,-0.6818830239838274
ALLE,2020-12-31,Allegion plc,Industrials,Security & Protection Services,3927173.0,large,-0.8153747201644483,-0.10787083540725632
ALLY,2020-12-31,Ally Financial Inc.,Financial Services,Credit Services,4495431.0,large,-0.45240149201924396,-0.4584823311619812
ALNY,2020-12-31,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,3421263.0,large,4.864418757620799,6.825282102862109
ALXN,2020-12-31,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,51150438.0,large,-1.436940646350651,-1.0626061650955487
AMAT,2020-12-31,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,24820857.0,large,-0.5827774678293173,-0.5280904651160824
AMCR,2020-12-31,Amcor plc,Consumer Cyclical,Packaging & Containers,9013535.0,large,1.595740584556815,-1.867698738593763
AMD,2020-12-31,"Advanced Micro Devices, Inc.",Technology,Semiconductors,30252636.0,large,-3.877196361196199,-0.7318325539005014
AME,2020-12-31,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,9097496.0,large,-0.5684712281146533,-0.047235802216819125
AMGN,2020-12-31,Amgen Inc.,Healthcare,Drug Manufacturers—General,47626692.0,large,-0.8331182986422039,-2.3520263304759426
AMT,2020-12-31,American Tower Corporation (REI,Real Estate,REIT—Specialty,39011550.0,large,0.9413064486663203,-0.7915202745736287
AMZN,2020-12-31,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,577395976.0,mega,-14.148966900429672,-3.995374892785084
