Ticker,Current P/E Ratio (ttm),Estimated P/E,Relative P/E,Earnings Per Share (ttm),Est. EPS,Est. PEG Ratio,Market Cap (M),Shares Outstanding (M),Price/Book (mrq),Price/Sales (ttm),Dividend Indicated Gross Yield,Next Earnings Announcement,Last Dividend Reported,5Y Net Dividend Growth,Average Volume (30-day)
ORCL,18.45,14.52,0.58,3.42,4.35,1.54,"185,797.99","2,944.03",23.53,4.92,1.52%,2021-03-12,0.24,9.86%,"8,712,453"
GOOGL,42.27,27.12,1.32,49.31,76.87,1.48,"1,408,191.87",300.74,6.32,7.77,0,2021-04-28,0,0,"2,003,752"
WDC,110.85,20.71,3.46,0.56,3.00,1.76,"18,899.70",304.25,1.92,1.15,0,2021-04-30,0,-12.94%,"5,260,768"
AMZN,79.55,55.04,2.48,41.77,60.38,1.75,"1,673,315.43",503.56,17.89,4.31,0,2021-04-30,0,0,"3,953,282"
V,40.79,37.65,1.27,5.07,5.50,2.05,"457,118.87","1,696.11",11.88,18.16,0.62%,2021-04-30,0.32,19.53%,"9,988,125"
TMUS,33.10,47.48,1.03,3.81,2.66,3.18,"156,591.70","1,241.81",2.40,2.13,0,2021-05-06,8.08,0,"4,026,837"
ARW,13.43,10.12,0.42,7.64,10.15,1.00,"7,757.73",75.55,1.51,0.28,0,2021-04-30,0,0,"392,554"
JPM,15.31,13.68,0.48,9.16,10.25,2.63,"427,175.18","3,048.20",1.71,3.33,2.57%,2021-04-14,0.90,15.92%,"14,058,130"
VSH,27.01,17.22,0.80,0.90,1.34,11.28,"3,509.41",132.56,2.11,1.33,1.62%,2021-02-09,0.10,9.63%,"998,060"
BAC,17.01,13.64,0.53,1.95,2.40,1.00,"286,255.44","8,650.81",1.14,3.06,2.19%,2021-04-15,0.18,29.20%,"50,450,236"
PFE,15.31,10.45,0.48,2.27,3.33,4.45,"193,543.37","5,558.40",2.97,4.06,4.37%,2021-04-29,0.39,6.40%,"35,681,380"
TSLA,"1,167.75",216.27,36.08,0.74,3.95,1.78,"828,756.71",959.85,36.89,25.35,0,2021-04-29,0,0,"33,306,578"
INTC,12.81,12.57,0.40,4.62,4.70,2.40,"240,367.08","4,063.00",2.96,3.18,2.36%,2021-04-23,0.35,6.42%,"43,562,488"
C,14.93,9.77,0.47,4.26,6.51,0.88,"132,516.73","2,081.96",0.74,1.49,3.20%,2021-04-15,0.51,59.12%,"20,328,900"
NKE,70.34,47.33,2.19,2.04,3.03,1.77,"226,084.43","1,271.48",21.15,5.85,0.77%,2021-03-24,0.28,11.73%,"4,920,042"
SPGI,29.27,27.35,0.95,11.12,11.90,3.17,"78,322.76",240.67,177.15,10.54,0.95%,2021-02-09,0.77,15.22%,"1,853,892"
GILD,11.11,9.52,0.34,6.12,7.09,0,"85,202.31","1,253.53",4.65,3.44,4.19%,2021-04-30,0.71,16.09%,"9,456,635"
TMO,30.54,22.92,0.95,16.23,21.63,2.32,"196,487.13",396.34,5.69,6.10,0.18%,2021-04-22,0.22,7.96%,"1,661,759"
CRTO,16.75,13.06,0.52,1.48,1.88,2.45,"1,495.19",60.24,1.57,0.73,0,2021-02-10,0,0,"539,827"
UNH,20.23,17.82,0.63,16.03,18.20,1.50,"307,740.51",948.82,4.50,1.20,1.54%,2021-04-15,1.25,20.83%,"3,302,579"
TT,34.75,27.56,1.08,4.29,5.36,3.37,"35,773.81",240.12,5.52,2.86,1.58%,2021-05-05,0.59,12.82%,"1,301,308"
MDLZ,23.47,19.61,0.73,2.39,2.86,2.25,"79,106.66","1,412.12",2.88,3.02,2.25%,2021-04-28,0.32,13.40%,"6,727,403"
MA,52.41,41.89,1.64,6.43,8.05,2.04,"335,344.85",987.00,52.47,22.06,0.52%,2021-04-29,0.44,19.61%,"4,477,833"
MS,11.35,13.05,0.35,6.54,5.69,1.30,"134,296.79","1,809.20",1.47,2.28,1.89%,2021-04-16,0.35,18.47%,"11,543,438"
CCK,20.80,16.44,0.65,4.50,5.70,3.01,"12,625.91",134.76,6.61,1.10,0,2021-02-09,0,0,"914,333"
PEP,25.48,25.46,0.80,5.51,5.51,4.22,"194,026.69","1,381.96",14.40,2.85,2.91%,2021-02-11,1.02,7.80%,"4,308,112"
DG,19.66,18.67,0.61,10.09,10.62,1.22,"48,603.28",245.00,6.96,1.53,0.73%,2021-03-12,0.36,10.35%,"2,333,337"
VZ,11.26,10.88,0.35,4.89,5.06,4.93,"227,796.90","4,138.00",3.36,1.78,4.56%,2021-04-21,0.63,2.19%,"19,321,898"
T,16.15,9.44,0.50,1.78,3.05,9.17,"205,015.02","7,126.00",1.27,1.20,7.23%,2021-04-22,0.52,1.93%,"43,747,504"
